Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
night-soil-tea,夜のくつろぎ茶,<p>灯りを落としたあとの時間に似合う、静かな香りの夜のお茶です。</p><p>一日の終わりに湯気を眺めながら飲める、香りの穏やかな夜のお茶です。ほうじ茶を土台に、花と木の香りをやわらかく重ねています。</p>,山草のめぐみ,お茶,お茶,"featured, お茶",true,Title,通常,,,,0,shopify,0,deny,manual,2900,,true,true,,https://cdn.shopify.com/s/files/1/0764/9643/7405/files/main_6a7ed2e5-4a41-44a5-8810-064a3fcb5c1f.webp?v=1777380268,1,夜のくつろぎ茶,夜のくつろぎ茶,,active
night-soil-tea,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0764/9643/7405/files/detail-01_c4228ca4-81dc-4436-beaa-e55905b06aff.webp?v=1777380268,2,夜のくつろぎ茶,,,
night-soil-tea,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0764/9643/7405/files/detail-02_53345cab-68ee-43b2-a570-9e45dd6719e6.webp?v=1777380268,3,夜のくつろぎ茶,,,
seasonal-care-set,季節の養生セット,<p>お茶、粉末、手当ての小物を一箱にまとめた、四季の贈りものです。</p><p>季節ごとの整え方を一箱にまとめた養生セットです。朝と夜で使い分けられるお茶、日々の食事に添える粉末、香りの小物を組み合わせています。</p>,山草のめぐみ,養生セット,養生セット,"featured, 養生セット",true,Title,通常,,,,0,shopify,104,deny,manual,8600,,true,true,,https://cdn.shopify.com/s/files/1/0764/9643/7405/files/main_c7e011c4-b298-4121-95ab-ee6796fbf04c.webp?v=1777380251,1,季節の養生セット,季節の養生セット,,active
seasonal-care-set,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0764/9643/7405/files/detail-01_26c21201-4294-4c71-9915-d1399b674c79.webp?v=1777380251,2,季節の養生セット,,,
seasonal-care-set,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0764/9643/7405/files/detail-02_a5c791bd-369d-4a37-942c-d2b209f3c924.webp?v=1777380251,3,季節の養生セット,,,
mountain-herb-blend,山のハーブブレンド,<p>野に立つ草花の香りを静かにまとめた、朝の湯気に似合う定番のお茶です。</p><p>里山で育てた草木の香りを、毎日の一杯として続けやすいよう穏やかに整えました。朝の支度前や畑仕事のあとに、湯気とともに香りを楽しむためのブレンドです。</p>,山草のめぐみ,お茶,お茶,"featured, お茶",true,Title,通常,,,,0,shopify,18,deny,manual,3200,,true,true,,https://cdn.shopify.com/s/files/1/0764/9643/7405/files/main.webp?v=1777380235,1,山のハーブブレンド,山のハーブブレンド,,active
mountain-herb-blend,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0764/9643/7405/files/detail-01.webp?v=1777380235,2,山のハーブブレンド,,,
mountain-herb-blend,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0764/9643/7405/files/detail-02.webp?v=1777380235,3,山のハーブブレンド,,,
touki-powder,当帰粉末,<p>栽培期間中農薬不使用のヒュウガトウキ茎・葉を粉末にした当帰粉末です。</p><p>栽培期間中は農薬・除草剤・化学肥料を使わずに育てたヒュウガトウキの茎と葉を粉末にした商品です。シシウド属（当帰類）の豊かな植物の香りとともに、食事や飲みもの・白湯に少量ずつ加えやすい形です。食品であり、疾病の診断、治療、予防を目的とするものではありません。</p>,四国ボタニカ,粉末,粉末,"featured, new, イヌトウキ, 粉末",true,Title,通常,,,,0,shopify,20,deny,manual,3000,,true,true,,https://cdn.shopify.com/s/files/1/0764/9643/7405/files/srs-touki-p.jpg?v=1777919176,1,当帰粉末,当帰粉末,,active
botanical-tablets,草木の養生錠,<p>外出先でも取り入れやすいよう、小粒に仕立てた養生用の錠剤です。</p><p>草木の粉末を小粒にまとめ、外出先や忙しい日でも続けやすい形にしました。お茶を淹れる時間が取れない日にも使いやすい養生錠です。</p>,山草のめぐみ,錠剤,錠剤,"featured, 錠剤",true,Title,通常,,,,0,shopify,4,deny,manual,3800,,true,true,,https://cdn.shopify.com/s/files/1/0764/9643/7405/files/main_46b53239-ae41-4b89-8f75-b3f50b110517.webp?v=1777380259,1,草木の養生錠,草木の養生錠,,active
botanical-tablets,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0764/9643/7405/files/detail-01_8ae26c71-3372-4d82-a0e1-71aa0838bf78.webp?v=1777380259,2,草木の養生錠,,,
botanical-tablets,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0764/9643/7405/files/detail-02_9c3f624d-9db8-4724-b8af-2ed6a92c23a7.webp?v=1777380259,3,草木の養生錠,,,
